name,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone
"Kelly, Mr. Patrick",0,3,male,22.0,1,0,7.25,S,Third,man,True,,Southampton,no,False
"Carter, Miss. Sarah",1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False
"Fitzgerald, Miss. Hannah",1,3,female,26.0,0,0,7.925,S,Third,woman,False,,Southampton,yes,True
"Harris, Miss. Florence",1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False
"White, Mr. Harold",0,3,male,35.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Andrews, Mr. Harold",0,3,male,,0,0,8.4583,Q,Third,man,True,,Queenstown,no,True
"Harris, Mr. Robert",0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True
"Nelson, Master. Charles",0,3,male,2.0,3,1,21.075,S,Third,child,False,,Southampton,no,False
"Andrews, Mrs. Alice",1,3,female,27.0,0,2,11.1333,S,Third,woman,False,,Southampton,yes,False
"Davis, Miss. Emily",1,2,female,14.0,1,0,30.0708,C,Second,child,False,,Cherbourg,yes,False
"Gordon, Miss. Hannah",1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False
"Thompson, Miss. Mary",1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True
"Jones, Mr. Joseph",0,3,male,20.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Quinn, Mr. John",0,3,male,39.0,1,5,31.275,S,Third,man,True,,Southampton,no,False
"Jones, Miss. Florence",0,3,female,14.0,0,0,7.8542,S,Third,child,False,,Southampton,no,True
"Fitzgerald, Miss. Helen",1,2,female,55.0,0,0,16.0,S,Second,woman,False,,Southampton,yes,True
"Gordon, Master. Harold",0,3,male,2.0,4,1,29.125,Q,Third,child,False,,Queenstown,no,False
"Nelson, Mr. William",1,2,male,,0,0,13.0,S,Second,man,True,,Southampton,yes,True
"Harris, Miss. Margaret",0,3,female,31.0,1,0,18.0,S,Third,woman,False,,Southampton,no,False
"Clark, Miss. Emily",1,3,female,,0,0,7.225,C,Third,woman,False,,Cherbourg,yes,True
"Andrews, Mr. Samuel",0,2,male,35.0,0,0,26.0,S,Second,man,True,,Southampton,no,True
"Gordon, Mr. Patrick",1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True
"Taylor, Miss. Alice",1,3,female,15.0,0,0,8.0292,Q,Third,child,False,,Queenstown,yes,True
"Roberts, Mr. Frank",1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True
"Allen, Miss. Margaret",0,3,female,8.0,3,1,21.075,S,Third,child,False,,Southampton,no,False
"Bird, Mrs. Emily",1,3,female,38.0,1,5,31.3875,S,Third,woman,False,,Southampton,yes,False
"Taylor, Mr. Harold",0,3,male,,0,0,7.225,C,Third,man,True,,Cherbourg,no,True
"Roberts, Mr. Thomas",0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False
"Brown, Miss. Edith",1,3,female,,0,0,7.8792,Q,Third,woman,False,,Queenstown,yes,True
"Taylor, Mr. George",0,3,male,,0,0,7.8958,S,Third,man,True,,Southampton,no,True
"Carter, Mr. Henry",0,1,male,40.0,0,0,27.7208,C,First,man,True,,Cherbourg,no,True
"Quinn, Miss. Ruth",1,1,female,,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False
"Young, Miss. Sarah",1,3,female,,0,0,7.75,Q,Third,woman,False,,Queenstown,yes,True
"Stewart, Mr. Edward",0,2,male,66.0,0,0,10.5,S,Second,man,True,,Southampton,no,True
"Brown, Mr. Samuel",0,1,male,28.0,1,0,82.1708,C,First,man,True,,Cherbourg,no,False
"Gordon, Mr. Patrick",0,1,male,42.0,1,0,52.0,S,First,man,True,,Southampton,no,False
"Carter, Mr. James",1,3,male,,0,0,7.2292,C,Third,man,True,,Cherbourg,yes,True
"Nelson, Mr. Joseph",0,3,male,21.0,0,0,8.05,S,Third,man,True,,Southampton,no,True
"Brown, Miss. Sarah",0,3,female,18.0,2,0,18.0,S,Third,woman,False,,Southampton,no,False
"Gordon, Miss. Edith",1,3,female,14.0,1,0,11.2417,C,Third,child,False,,Cherbourg,yes,False
